id,name,l10n_ke_quantity_unit_id/id
uom.product_uom_litre,Litre,code_10_L
uom.product_uom_unit,Unit,code_10_U
uom.product_uom_dozen,Dozen,code_10_DZ
uom.product_uom_cm,Centimeter,code_10_CMT
uom.product_uom_gram,Gram,code_10_GRM
uom.product_uom_gal,Gallon,code_10_GLL
uom.product_uom_kgm,Kilogram,code_10_KG
uom.product_uom_km,Kilometer,code_10_KTM
uom.product_uom_lb,Pound,code_10_LBR
uom.product_uom_meter,Meter,code_10_M
uom.product_uom_cubic_meter,Cubic Meter,code_10_M3
uom.product_uom_square_meter,Square Meter,code_10_M2
uom.product_uom_yard,Yard,code_10_YRD
